Ticker,Currency,Name,Industry,Close,1YR TR,5YR TR
INTC UW Equity,USD,INTEL CORP,Semiconductors & Semiconductor,34.34,7.287817,9.146087
MSFT UW Equity,USD,MICROSOFT CORP,Software,69.08,37.78054,21.2647
HD UN Equity,USD,HOME DEPOT INC,Specialty Retail,152.69,18.66753,26.58071
7751 JT Equity,JPY,CANON INC,"Technology Hardware, Storage &",3784,35.69243,7.915777
AAPL UW Equity,USD,APPLE INC,"Technology Hardware, Storage &",144.09,53.71389,12.98698
KER FP Equity,EUR,KERING,"Textiles, Apparel & Luxury Goo",303.5,114.9939,25.12854
MC FP Equity,EUR,LVMH MOET HENNE,"Textiles, Apparel & Luxury Goo",221.8,70.91129,17.8303
NKE UN Equity,USD,NIKE INC -CL B,"Textiles, Apparel & Luxury Goo",57.56,4.485293,21.80354
2914 JT Equity,JPY,JAPAN TOBACCO,Tobacco,3868,-6.600924,13.99832
8031 JT Equity,JPY,MITSUI & CO,Trading Companies & Distributo,1609,37.6632,9.848548
8058 JT Equity,JPY,MITSUBISHI CORP,Trading Companies & Distributo,2383,38.23888,10.97623
9433 JT Equity,JPY,KDDI CORP,Wireless Telecommunication Ser,2988,-5.899152,30.89987
9437 JT Equity,JPY,NTT DOCOMO INC,Wireless Telecommunication Ser,2644,-5.47053,18.94273
9984 JT Equity,JPY,SOFTBANK GROUP C,Wireless Telecommunication Ser,8960,60.60575,26.31373
